account,adTiktokId,adName,totalIncreases,date,budget,increasesToday,cumIncreases,spend,cv,cpa
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-06,8568,4,4,0,0,
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-07,3900,1,5,0,0,
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-08,6591,3,8,0,0,
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-09,6591,0,8,0,0,
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-11,3900,1,9,0,0,
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-12,14479,5,14,0,0,
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-13,14479,6,20,0,0,
AI_2,1861681678881889,"260406/高橋海斗/やれやめろ＿編集強化/LP1-CR01170",20,2026-04-14,14479,0,20,0,0,
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-04,3900,1,1,3695,1,3695
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-05,31811,9,10,26776,14,1913
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-06,31811,9,19,22342,13,1719
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-07,3000,0,19,3266,0,
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-08,3000,0,19,2964,0,
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-09,3000,0,19,70640,16,4415
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-11,3000,0,19,129556,44,2944
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-12,3000,0,19,102780,30,3426
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-13,3000,0,19,80438,17,4732
AI_3,1861476178360369,"260404/横展開/CR178_横展開/LP1-CR01159",19,2026-04-14,3000,0,19,0,0,
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-04,41354,8,8,24204,10,2420
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-05,3000,0,8,3750,1,3750
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-06,14479,6,14,12119,6,2020
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-07,3900,1,15,1226,1,1226
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-08,3900,0,15,0,0,
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-09,3000,0,15,0,0,
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-11,0,0,15,17095,8,2137
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-12,3000,0,15,13345,7,1906
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-13,3000,0,15,1226,1,1226
AI_1,1861475324686625,"260404/横展開/CR178_横展開/LP1-CR01156",15,2026-04-14,3000,0,15,0,0,
AI_2,1861474109206658,"260404/横展開/CR454_横展開/LP1-CR01150",14,2026-04-04,18823,5,5,13756,5,2751
AI_2,1861474109206658,"260404/横展開/CR454_横展開/LP1-CR01150",14,2026-04-05,90854,6,11,93396,37,2524
AI_2,1861474109206658,"260404/横展開/CR454_横展開/LP1-CR01150",14,2026-04-06,18823,0,11,14513,3,4838
AI_2,1861474109206658,"260404/横展開/CR454_横展開/LP1-CR01150",14,2026-04-07,41354,3,14,51692,19,2721
AI_2,1861474109206658,"260404/横展開/CR454_横展開/LP1-CR01150",14,2026-04-08,41354,0,14,1100,0,
AI_2,1861474109206658,"260404/横展開/CR454_横展開/LP1-CR01150",14,2026-04-09,18823,0,14,249989,46,5435
