CR,accounts,accountList,ads,spend,sheetCV,sheetCPA,apiCV,apiCPA
"CR454_横展開",3,"AI_1,AI_2,AI_3",12,1890042,187,10107,470,4021
"過去の当たりCR",4,"AI_1,AI_2,AI_3,AI_4",6,1655422,37,44741,427,3877
"AI全部やめました渋谷Ver",1,"AI_1",7,1061800,54,19663,174,6102
"CR178_横展開",3,"AI_1,AI_2,AI_3",6,597612,86,6949,195,3065
"説明しようAI_冒頭1_林社長",3,"AI_1,AI_2,AI_3",3,444148,56,7931,157,2829
"箕輪さんまとめ",4,"AI_1,AI_2,AI_3,AI_4",8,301385,8,37673,74,4073
"ClaudeCodeレベル",2,"AI_1,AI_2",3,205004,9,22778,110,1864
"一撃YouTube動画作成_途中CTAあり",4,"AI_1,AI_2,AI_3,AI_4",7,189701,20,9485,10,18970
"スマ AIまとめ(林社長関連)",1,"AI_3",1,151604,9,16845,63,2406
"【ねねさん】Claude_Code",1,"AI_1",3,99433,19,5233,25,3977
"AIに仕事奪われる",1,"AI_1",1,59487,1,59487,17,3499
"ClaudeCode解説",2,"AI_1,AI_2",3,57665,0,,26,2218
"未来人",1,"AI_1",1,28399,0,,6,4733
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165",2,"AI_1,AI_3",2,23632,2,11816,4,5908
"緊急動画",1,"AI_3",1,11391,5,2278,4,2848
"二極化(副業会社員)",1,"AI_3",1,8826,5,1765,5,1765
"AIまとめ1",1,"AI_2",1,7349,0,,2,3675
"横展開CR",2,"AI_1,AI_3",2,7040,2,3520,2,3520
"スマプラ",2,"AI_2,AI_3",2,6943,4,1736,3,2314
"Claudeが重要",1,"AI_1",1,6624,6,1104,3,2208
"手動DF_Smart+",1,"AI_1",1,4016,1,4016,1,4016
"CR454_横展開再出稿",1,"AI_2",1,3379,1,3379,1,3379
"やれやめろ＿編集強化",1,"AI_1",1,3246,0,,0,
"おい会���員_1年後悔",1,"AI_1",1,3239,2,1620,0,
"箕輪さん→3兆円企業",1,"AI_1",1,3066,0,,0,
"AIまとめ（休日ブースト）",1,"AI_3",1,3062,0,,0,
"正直に答えてね",1,"AI_3",1,3010,0,,0,
"全部やめました-渋谷Ver",1,"AI_2",1,1432,0,,1,1432
"2026年AIツール_全ツール紹介_CTAあり",1,"AI_1",1,1178,0,,0,
"尻込み_ちえみさん",1,"AI_2",1,1101,0,,0,
"AI副業の嘘2（AI訴求）毎日投稿",1,"AI_1",1,1054,0,,0,
"二極化_SORA2_冒頭1_中間2-2",1,"AI_1",1,737,0,,0,
