CR,LP,account,ads,spend,sheetCV_LP,v2CV,apiCV,sheetCPA,v2CPA,apiCPA
"CR454_横展開","LP1-CR01150",AI_2,1,1455427,120,70,348,12129,20792,4182
"過去の当たりCR","LP1-CR01132",AI_2,1,1164366,0,0,282,,,4129
"AI全部やめました渋谷Ver","LP1-CR01144",AI_1,1,1016784,53,11,172,19185,92435,5912
"CR178_横展開","LP1-CR01159",AI_3,1,446025,43,26,136,10373,17155,3280
"説明しようAI_冒頭1_林社長","LP1-CR01163",AI_3,1,277599,28,13,93,9914,21354,2985
"CR454_横展開","LP1-CR01153",AI_2,1,262644,24,21,69,10944,12507,3806
"過去の当たりCR","LP1-CR01105",AI_1,1,189623,0,0,55,,,3448
"スマ AIまとめ(林社長関連)","LP2-CR00240",AI_3,1,151604,9,0,63,16845,,2406
"ClaudeCodeレベル","LP1-CR01059",AI_1,1,138344,9,0,76,15372,,1820
"箕輪さんまとめ","LP4-CR00004",AI_2,1,106570,2,0,14,53285,,7612
"一撃YouTube動画作成_途中CTAあり","LP1-CR01128",AI_4,1,102305,20,2,0,5115,51153,
"箕輪さんまとめ","LP4-CR00003",AI_1,1,99881,0,0,37,,,2699
"説明しようAI_冒頭1_林社長","LP1-CR01161",AI_1,1,89313,17,13,44,5254,6870,2030
"過去の当たりCR","LP1-CR01141",AI_4,1,88243,12,2,0,7354,44122,
"CR454_横展開","LP1-CR01154",AI_3,1,84524,20,20,36,4226,4226,2348
"【ねねさん】Claude_Code","LP1-CR01183",AI_1,1,79624,9,1,18,8847,79624,4424
"説明しようAI_冒頭1_林社長","LP1-CR01162",AI_2,1,77236,11,11,20,7021,7021,3862
"CR178_横展開","LP1-CR01156",AI_1,1,72965,23,23,34,3172,3172,2146
"過去の当たりCR","LP1-CR01126",AI_1,1,71710,3,1,24,23903,71710,2988
"過去の当たりCR","LP1-CR01136",AI_3,1,71161,9,0,23,7907,,3094
"過去の当たりCR","LP1-CR01134",AI_3,1,70319,13,2,43,5409,35160,1635
"CR178_横展開","LP1-CR01160",AI_3,1,61816,17,12,23,3636,5151,2688
"箕輪さんまとめ","LP4-CR00002",AI_3,1,61044,3,1,21,20348,61044,2907
"AIに仕事奪われる","LP2-CR00239",AI_1,1,59487,1,0,17,59487,,3499
"一撃YouTube動画作成_途中CTAあり","LP1-CR01098",AI_3,1,56459,0,0,5,,,11292
"ClaudeCodeレベル","LP1-CR01099",AI_2,1,56248,0,0,30,,,1875
"CR454_横展開","LP1-CR01147",AI_2,1,56103,17,17,13,3300,3300,4316
"ClaudeCode解説","LP1-CR01127",AI_1,1,55667,0,0,25,,,2227
"未来人","LP1-CR01101",AI_1,1,28399,0,0,6,,,4733
"箕輪さんまとめ","LP4-CR00008",AI_4,1,18155,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01199",AI_1,1,17628,1,0,2,17628,,8814
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165","LP1-CR01198",AI_3,1,17558,2,0,4,8779,,4390
"一撃YouTube動画作成_途中CTAあり","LP1-CR01053",AI_1,1,15827,0,0,5,,,3165
"【ねねさん】Claude_Code","LP1-CR01212",AI_1,1,15825,9,9,6,1758,1758,2638
"緊急動画","LP2-CR00244",AI_3,1,11391,5,5,4,2278,2278,2848
"ClaudeCodeレベル","LP1-CR01060",AI_1,1,10412,0,0,4,,,2603
"CR178_横展開","LP1-CR01155",AI_1,1,8928,2,2,1,4464,4464,8928
"二極化(副業会社員)","LP2-CR00246",AI_3,1,8826,5,5,5,1765,1765,1765
"AIまとめ1","LP1-CR01102",AI_2,1,7349,0,0,2,,,3675
"Claudeが重要","LP1-CR01215",AI_1,1,6624,6,6,3,1104,1104,2208
"一撃YouTube動画作成_途中CTAあり","LP1-CR01142",AI_1,1,6504,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01202",AI_1,1,6146,0,0,0,,,
"CR454_横展開","LP1-CR01191",AI_2,1,6144,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01201",AI_1,1,6122,0,0,0,,,
"AI全部やめました渋谷Ver","LP1-CR01203",AI_1,1,6092,0,0,0,,,
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165","LP1-CR01192",AI_1,1,6074,0,0,0,,,
"箕輪さんまとめ","LP4-CR00016",AI_3,1,6047,2,2,1,3024,3024,6047
"AI全部やめました渋谷Ver","LP1-CR01200",AI_1,1,6014,0,0,0,,,
"CR178_横展開","LP1-CR01157",AI_2,1,4398,1,1,1,4398,4398,4398
"CR454_横展開","LP1-CR01151",AI_1,1,4086,1,1,0,4086,4086,
"CR454_横展開","LP1-CR01152",AI_3,1,4070,1,1,1,4070,4070,4070
"CR454_横展開","LP1-CR01148",AI_3,1,4042,1,1,1,4042,4042,4042
"横展開CR","LP2-CR00241",AI_3,1,4029,1,1,1,4029,4029,4029
"手動DF_Smart+","LP1-CR01185",AI_1,1,4016,1,1,1,4016,4016,4016
"【ねねさん】Claude_Code","LP1-CR01184",AI_1,1,3984,1,1,1,3984,3984,3984
"スマプラ","LP1-CR01214",AI_2,1,3919,3,3,2,1306,1306,1960
"箕輪さんまとめ","LP4-CR00015",AI_2,1,3496,1,1,1,3496,3496,3496
"CR178_横展開","LP1-CR01158",AI_2,1,3480,0,0,0,,,
"一撃YouTube動画作成_途中CTAあり","LP1-CR01165",AI_1,1,3476,0,0,0,,,
"一撃YouTube動画作成_途中CTAあり","LP1-CR01164",AI_1,1,3457,0,0,0,,,
"CR454_横展開","LP1-CR01146",AI_1,1,3400,0,0,0,,,
"CR454_横展開再出稿","LP1-CR01208",AI_2,1,3379,1,1,1,3379,3379,3379
"やれやめろ＿編集強化","LP1-CR01206",AI_1,1,3246,0,0,0,,,
"おい会���員_1年後悔","LP1-CR01207",AI_1,1,3239,2,2,0,1620,1620,
"CR454_横展開","LP1-CR01149",AI_1,1,3230,1,1,1,3230,3230,3230
"CR454_横展開","LP1-CR01210",AI_2,1,3206,0,0,0,,,
"CR454_横展開","LP1-CR01207",AI_2,1,3166,2,2,1,1583,1583,3166
"箕輪さんまとめ","LP4-CR00001",AI_2,1,3128,0,0,0,,,
"箕輪さん→3兆円企業","LP1-CR01213",AI_1,1,3066,0,0,0,,,
"箕輪さんまとめ","LP4-CR00014",AI_1,1,3064,0,0,0,,,
"AIまとめ（休日ブースト）","LP2-CR00238",AI_3,1,3062,0,0,0,,,
"スマプラ","LP2-CR00247",AI_3,1,3024,1,1,1,3024,3024,3024
"AI全部やめました渋谷Ver","LP1-CR01205",AI_1,1,3014,0,0,0,,,
"横展開CR","LP1-CR01211",AI_1,1,3011,1,1,1,3011,3011,3011
"正直に答えてね","LP2-CR00245",AI_3,1,3010,0,0,0,,,
"一撃YouTube動画作成_途中CTAあり","LP1-CR01096",AI_2,1,1673,0,0,0,,,
"全部やめました-渋谷Ver","LP1-CR01095",AI_2,1,1432,0,0,1,,,1432
"2026年AIツール_全ツール紹介_CTAあり","LP1-CR01103",AI_1,1,1178,0,0,0,,,
"尻込み_ちえみさん","LP1-CR01094",AI_2,1,1101,0,0,0,,,
"AI副業の嘘2（AI訴求）毎日投稿","LP1-CR01108",AI_1,1,1054,0,0,0,,,
"ClaudeCode解説","LP1-CR01106",AI_1,1,1002,0,0,0,,,
"ClaudeCode解説","LP1-CR01107",AI_2,1,996,0,0,1,,,996
"二極化_SORA2_冒頭1_中間2-2","LP1-CR01104",AI_1,1,737,0,0,0,,,
