CR,LP,account,ads,spend,sheetCV_LP,v2CV,apiCV,sheetCPA,v2CPA,apiCPA
"過去の当たりCR","LP1-CR01132",AI_2,1,2359863,0,0,576,,,4097
"CR454_横展開","LP1-CR01150",AI_2,1,2045760,120,70,567,17048,29225,3608
"AI全部やめました渋谷Ver","LP1-CR01144",AI_1,1,1135316,53,11,251,21421,103211,4523
"CR178_横展開","LP1-CR01159",AI_3,1,514875,43,26,190,11974,19803,2710
"CR454_横展開","LP1-CR01153",AI_2,1,425708,24,21,115,17738,20272,3702
"過去の当たりCR","LP1-CR01105",AI_1,1,408414,0,0,119,,,3432
"一撃YouTube動画作成_途中CTAあり","LP1-CR01128",AI_4,1,330474,20,2,0,16524,165237,
"CR454_横展開","LP1-CR01147",AI_2,1,299274,17,17,72,17604,17604,4157
"説明しようAI_冒頭1_林社長","LP1-CR01163",AI_3,1,287551,28,13,105,10270,22119,2739
"スマ AIまとめ(林社長関連)","LP2-CR00240",AI_3,1,260463,9,0,88,28940,,2960
"箕輪さんまとめ","LP4-CR00004",AI_2,1,247967,2,0,56,123984,,4428
"CR178_横展開","LP1-CR01156",AI_1,1,247794,23,23,108,10774,10774,2294
"過去の当たりCR","LP1-CR01141",AI_4,1,216108,12,2,0,18009,108054,
"ClaudeCodeレベル","LP1-CR01059",AI_1,1,214217,9,0,110,23802,,1947
"CR454_横展開","LP1-CR01154",AI_3,1,199249,20,20,77,9962,9962,2588
"ClaudeCode解説","LP1-CR01127",AI_1,1,195965,0,0,88,,,2227
"説明しようAI_冒頭1_林社長","LP1-CR01162",AI_2,1,194826,11,11,60,17711,17711,3247
"過去の当たりCR","LP1-CR01136",AI_3,1,193494,9,0,63,21499,,3071
"説明しようAI_冒頭1_林社長","LP1-CR01161",AI_1,1,188927,17,13,84,11113,14533,2249
"過去の当たりCR","LP1-CR01134",AI_3,1,187619,13,2,105,14432,93810,1787
"箕輪さんまとめ","LP4-CR00003",AI_1,1,181663,0,0,70,,,2595
"過去の当たりCR","LP1-CR01126",AI_1,1,172045,3,1,59,57348,172045,2916
"箕輪さんまとめ","LP4-CR00002",AI_3,1,169521,3,1,44,56507,169521,3853
"【ねねさん】Claude_Code","LP1-CR01183",AI_1,1,159190,9,1,33,17688,159190,4824
"CR178_横展開","LP1-CR01160",AI_3,1,158659,17,12,55,9333,13222,2885
"AIに仕事奪われる","LP2-CR00239",AI_1,1,118078,1,0,47,118078,,2512
"一撃YouTube動画作成_途中CTAあり","LP1-CR01098",AI_3,1,76263,0,0,6,,,12711
"ClaudeCodeレベル","LP1-CR01099",AI_2,1,56248,0,0,30,,,1875
"箕輪さんまとめ","LP4-CR00008",AI_4,1,47413,0,0,0,,,
"一撃YouTube動画作成_途中CTAあり","LP1-CR01142",AI_1,1,45968,0,0,6,,,7661
