日付,広告セットID,広告セット名,キャンペーン名,インプレッション,クリック,コンバージョン,CTR(%),CVR(%),消費額,CPA
2025-12-02,"1848410929607794","広告セットCR00055","251110/AI/タゲ/シーン×問題ないです/LP2-CR00054-56",0,0,0,0,0,0.00,0
2025-12-01,"1848478062916722","ALL配信","251111 AI スマ 女性向けUGC  LP2-CR00057 58",0,0,0,0,0,0.00,0
2025-12-02,"1848478062916722","ALL配信","251111 AI スマ 女性向けUGC  LP2-CR00057 58",0,0,0,0,0,0.00,0
2025-12-01,"1849817149413377","251126 ノンタゲ","251126/AI/箕輪さん切り抜き/LP1-CR00646～CR00651",0,0,0,0,0,0.00,0
2025-12-02,"1849817149413377","251126 ノンタゲ","251126/AI/箕輪さん切り抜き/LP1-CR00646～CR00651",0,0,0,0,0,0.00,0
2025-12-01,"1849922481480801","広告セット ","251127 AI スマ AIまとめ(ヒカル)  LP2-CR00132",109369,414,0,0.3785,0.0000,75075.00,0
2025-12-02,"1849922481480801","広告セット ","251127 AI スマ AIまとめ(ヒカル)  LP2-CR00132",99985,407,0,0.4071,0.0000,77284.00,0
2025-12-01,"1849388815159377","広告セット 20250902064213","251121/セン/アルゴリズム破壊(2026)/LP2-CR0004041",8242,39,0,0.4732,0.0000,11002.00,0
2025-12-02,"1849388815159377","広告セット 20250902064213","251121/セン/アルゴリズム破壊(2026)/LP2-CR0004041",7984,30,0,0.3758,0.0000,11119.00,0
2025-12-01,"1848683515374658","1個の広告セット 20251113104424をコピー","251113/セミ/スマ/おい会社員(穏)_冒頭テスト/LP1-CR00088-95",0,0,0,0,0,0.00,0
2025-12-01,"1848545315808418","広告セット 20250911021302","1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー",20156,108,0,0.5358,0.0000,24756.00,0
