日付,広告ID,広告名,広告セット名,キャンペーン名,インプレッション,クリック,CTR(%)
2025-12-01,"1849871354575954","セミナー編 TT BGM_yndTteUC.mp4-Music_Refresh-0-3_1762910132","広告セット 20250911021302","1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー",602,4,0.6645
2025-12-02,"1849871354575954","セミナー編 TT BGM_yndTteUC.mp4-Music_Refresh-0-3_1762910132","広告セット 20250911021302","1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー",489,5,1.0225
2025-12-01,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-02,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-03,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-04,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-05,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-06,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-07,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-08,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-09,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-10,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-11,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
2025-12-12,"1847645879676066","251114/清水絢吾/スマプラ/11月特典/LP2-CR00035","広告セット ","251102 AI スマ AIまとめ(勝ち_11月特典)  LP2-CR00035",0,0,0
