広告ID,広告名,広告セット名,キャンペーン名,訴求名,登録経路,インプレッション,クリック,消費額,TikTok CV,スプレッドシートCV数,フロント販売本数,CPM,CTR(%),CVR(%),CPA,フロントCPO
"1850037802850322","【TikTok5】林社長→ホリエモンさん→箕輪さん→AI学ぶな_YFzxUWPB.mp4","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673","AI","",1087095,5054,836582.00,183,0,0,769.56,0.4649,0.0000,0,0
"1849871269950769","新冒頭③これ間違いです_dX2cMCH5.mp4","広告セット 20251108104919","251108 AI スマ AIまとめ(ホリエモン関連_ピクセル1)  LP1-CR00646","AI","",779364,3333,818282.00,141,0,0,1049.94,0.4277,0.0000,0,0
"1851650547936354","【TikTok】ホリエモン⑤AI学ぶな_JUGgXWlb.mp4","スマプラ","251216/清水絢吾/スマプラ/著名人コピー違い/LP1-CR00718","AI","",638989,3596,714779.00,192,0,0,1118.61,0.5628,0.0000,0,0
"1849903550034001","＃納品_はいそこまで_全部_TT_oRLk4qv0.mp4","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033","SNS","",394434,2338,666651.00,222,0,0,1690.15,0.5927,0.0000,0,0
"1849871090651249","新冒頭③これ間違いです_v5roHq2n.mp4","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",953084,3913,648852.00,131,0,0,680.79,0.4106,0.0000,0,0
"1850037802850306","【TikTok6】林社長→箕輪さん→ホリエモンさん→AI学ぶな_7ZPyfBjT.mp4","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673","AI","",823576,3147,648107.00,119,0,0,786.94,0.3821,0.0000,0,0
"1849871830952978","Meta※CTA変更奇行ver【クリーン化】1年後悔_1_dfcjrLU4.mp4","広告セット ","251112 AI スマ 1年後悔  LP2-CR00064-66","AI","",414718,1654,460104.00,100,0,0,1109.44,0.3988,0.0000,0,0
"1850036313298977","Meta※CTA変更【クリーン化】1年後悔_daE86FQk.mp4","広告セット ","251128 AI スマ 1年後悔  LP2-CR00137","AI","",326898,1431,405406.00,69,0,0,1240.16,0.4378,0.0000,0,0
"1849903550034961","これ全部やめました_修正META用_k3lu8qjR.mp4","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033","SNS","",353708,1890,343831.00,126,0,0,972.08,0.5343,0.0000,0,0
"1849871142030417","AI訴求 (1.25)_ydSUkOBt.mp4","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",201385,747,340961.00,72,0,0,1693.08,0.3709,0.0000,0,0
"1849871247864881","箕輪 さん切り抜きTiktTok⑤【AI訴求】これ間違いです_J5gYAGrK.mp4","広告セット 20251108104919","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー","AI","",432073,1262,320220.00,37,0,0,741.12,0.2921,0.0000,0,0
"1849871090652305","問題ないです_ライブ配信_林先生バージョン3_02_TT.mp4","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",502145,1654,312176.00,61,0,0,621.68,0.3294,0.0000,0,0
"1849872006318241","AI_Editor_1764158169722","広告セット ","251126 AI スマ 問題ないです(ヒカル)  LP2-CR000114","AI","",417066,2752,305124.00,51,0,0,731.60,0.6598,0.0000,0,0
"1849903550037025","みんなで問題ないですCR (1).mp4","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033","SNS","",370717,1690,264061.00,109,0,0,712.30,0.4559,0.0000,0,0
"1849871209048066","＃納品_【冒頭】林社長AI大当たりCR_冒頭差し替え_台３冒２_TT (1).mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",304408,918,258774.00,37,0,0,850.09,0.3016,0.0000,0,0
"1849871414465633","ホリエモン冒頭③","1個の広告セットCR00040をコピー","251105/AI/タゲ/ホリエモンCR/LP2-CR00038-40","AI","",362309,7415,258215.00,56,0,0,712.69,2.0466,0.0000,0,0
"1849871142029361","AI_Editor_1763716721641","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",334755,1046,257690.00,43,0,0,769.79,0.3125,0.0000,0,0
