広告ID,広告名,広告セット名,キャンペーン名,訴求名,登録経路,インプレッション,クリック,消費額,CV数,フロント販売本数,CPM,CTR(%),CVR(%),CPA,フロントCPO
1.84903E+15,251114/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00048,広告セット ,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,TikTok広告-AI-LP2-CR00048,21901732,83752,15830752,363,44,722.81,0.3824,0.4334,43610.89,359789.82
1.85004E+15,251128/清水絢吾/スマプラ/著名人まとめ/LP1-CR00673,広告セット 20251108104919,251128 AI スマ AIまとめ(著名人)  LP1-CR00673,AI,TikTok広告-AI-LP1-CR00673,18618511,81488,15234014,383,64,818.22,0.4377,0.47,39775.49,238031.47
1.84939E+15,251121/清水絢吾/スマプラ/AIガチャ(ピクセル1)/LP1-CR00661,広告セット 20251108104919,251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661,AI,TikTok広告-AI-LP1-CR00661,12944957,43635,13974055,355,40,1079.5,0.3371,0.8136,39363.54,349351.38
1.84891E+15,251116/清水絢吾/スマプラ/AIガチャ/LP2-CR00071,広告セット ,11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071,AI,TikTok広告-AI-LP2-CR00071,10158278,39960,10058042,218,15,990.13,0.3934,0.5455,46137.81,670536.13
1.84884E+15,251114/清水絢吾/スマプラ/11月オファー強化/LP2-CR00032,広告セット ,1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー,AI,TikTok広告-AI-LP2-CR00032,6868132,22248,7792186,89,9,1134.54,0.3239,0.4,87552.65,865798.44
1.84823E+15,251114/清水絢吾/スマプラ/ホリエモン_AI2/LP1-CR00646,広告セット 20251108104919,251108 AI スマ AIまとめ(ホリエモン関連_ピクセル1)  LP1-CR00646,AI,TikTok広告-AI-LP1-CR00646,7038718,30601,7676472,135,10,1090.61,0.4348,0.4412,56862.76,767647.2
1.85165E+15,251216/清水絢吾/スマプラ/著名人コピー違い/LP1-CR00718,スマプラ,251216/清水絢吾/スマプラ/著名人コピー違い/LP1-CR00718,AI,TikTok広告-AI-LP1-CR00718,6019118,32105,6146560,234,33,1021.17,0.5334,0.7289,26267.35,186259.39
1.84839E+15,251114/清水絢吾/スマプラ/箕輪＆3兆円_AI2/LP1-CR00647,広告セット 20251108104919,1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー,AI,TikTok広告-AI-LP1-CR00647,5685917,19959,5898617,86,8,1037.41,0.351,0.4309,68588.57,737327.13
1.84982E+15,251114/清水絢吾/スマプラ AIまとめ_1004//LP2-CR00022,広告セット ,【1126_複製】010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022,AI,TikTok広告-AI-LP2-CR00022,5861836,21274,5701544,93,8,972.65,0.3629,0.4372,61306.92,712693
1.85114E+15,251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141,1211＿複製,【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141,AI,TikTok広告-AI-LP2-CR00141,6340075,24668,3982958,181,14,628.22,0.3891,0.7337,22005.29,284497
