AI導線 1月 個別予約CPO一覧（2026-01-01 〜 2026-01-31）
対象: 個別予約があったCRのみ

LP-CR,広告名,消化金額,個別予約数,個別予約CPO
LP1-CR00721,"251221/清水絢吾/二極化_教室Ver_副業月7桁/LP1-CR00721",1218,1,1218
LP1-CR00767,"260120/鈴木織大/太られへん構文 副業＋家族時間2/LP1-CR00767",3531,1,3531
LP1-CR00783,"260124/鈴木織大/尻込み/LP1-CR00783",12235,1,12235
LP1-CR00812,"260128/鈴木織大/生意気なスタッフ_冒頭3_オファー1/LP1-CR00812",30040,1,30040
LP1-CR00807,"260127/石黒研太/AI副業の嘘2（AI訴求）毎日投稿/LP1-CR00807",33704,1,33704
LP1-CR00739,"260116/在中悠也/Claudeが重要/LP1-CR00739",160551,4,40138
LP1-CR00745,"260116/鈴木織大/YouTube切り抜き（パワポ終焉）/LP1-CR00745",378853,6,63142
LP1-CR00792,"260125/鈴木織大/パクるやつ多すぎ/LP1-CR00792",67050,1,67050
LP1-CR00797,"260127/高橋海斗/やれやめろ＿編集強化/LP1-CR00797",166073,2,83037
LP1-CR00694,"251209/高橋海斗/後悔書くアップ冒頭/LP1-CR00694",0,1,N/A
LP2-CR00159,"251211/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00159",0,2,N/A
LP1-CR00661,"251121/清水絢吾/スマプラ/AIガチャ(ピクセル1)/LP1-CR00661",0,2,N/A
LP2-CR00040,"広告名202251105/鈴木織大/ホリエモンCR/冒頭③/LP2-CR00040",0,1,N/A
LP2-CR00019,(該当広告なし),0,2,N/A
LP1-CR00718,"251216/清水絢吾/スマプラ/著名人コピー違い/LP1-CR00718",0,2,N/A
LP2-CR00048,"251114/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00048",0,1,N/A
LP1-CR00673,"251128/清水絢吾/スマプラ/著名人まとめ/LP1-CR00673",0,2,N/A
LP2-CR00010,(該当広告なし),0,1,N/A
LP1-CR00724,"251221/清水絢吾/二極化_教室Ver_フリーランス月7桁/LP1-CR00724",0,1,N/A
LP2-CR00132,"251127/清水絢吾/スマプラ/ヒカル/LP2-CR00132",0,1,N/A
LP1-CR00432,(該当広告なし),0,1,N/A
LP1-CR00646,"251114/清水絢吾/スマプラ/ホリエモン_AI2/LP1-CR00646",0,1,N/A
LP2-CR00137,"251128/清水絢吾/1年後悔(クリーン化)/CTA/LP2-CR00137",0,1,N/A
LP2-CR00071,"251116/清水絢吾/スマプラ/AIガチャ/LP2-CR00071",0,2,N/A
LP1-CR00601,(該当広告なし),0,1,N/A
LP2-CR00035,"251114/清水絢吾/スマプラ/11月特典/LP2-CR00035",0,2,N/A
LP2-CR00008,(該当広告なし),0,2,N/A
LP2-CR00087,"251119/清水絢吾/正直に答えてね/ChatGPTマネタイズ/LP2-CR00087",0,1,N/A
LP1-CR00583,(該当広告なし),0,1,N/A
LP1-CR00405,(該当広告なし),0,1,N/A
LP1-CR00701,"251212/清水絢吾/問題ないです_シーン訴求_冒頭2/LP1-CR00701",0,1,N/A
LP2-CR00047,"251114/清水絢吾/スマプラ/ホリエモン関連/LP2-CR00047",0,1,N/A
LP1-CR00278,(該当広告なし),0,1,N/A
LP2-CR00023,(該当広告なし),0,1,N/A
LP2-CR00032,"251114/清水絢吾/スマプラ/11月オファー強化/LP2-CR00032",0,1,N/A
LP2-CR00028,(該当広告なし),0,1,N/A
LP1-CR00097,(該当広告なし),0,1,N/A
LP1-CR00372,(該当広告なし),0,1,N/A
LP1-CR00121,(該当広告なし),0,1,N/A
LP1-CR00386,(該当広告なし),0,1,N/A
LP2-CR000132,(該当広告なし),0,1,N/A
LP1-CR00669,(該当広告なし),0,1,N/A
LP1-CR00518,(該当広告なし),0,1,N/A
LP1-CR00647,"251114/清水絢吾/スマプラ/箕輪＆3兆円_AI2/LP1-CR00647",0,1,N/A
LP2-CR000125,(該当広告なし),0,1,N/A

合計,,853255,62,13762
