AI導線 2025年12月 個別予約CPO一覧（2025-12-01 〜 2025-12-31）
対象: 個別予約があったCRのみ

LP-CR,広告名,消化金額,個別予約数,個別予約CPO
LP1-CR00685,"251206/清水絢吾/スマプラ/ホリエモン_AI2/LP1-CR00685",178523,2,89262
LP2-CR00067,"251112/清水絢吾/1年後悔(クリーン化)/奇行_CTA/LP2-CR00067",460104,3,153368
LP2-CR00071,"251116/清水絢吾/スマプラ/AIガチャ/LP2-CR00071",1239125,3,413042
LP1-CR00673,"251128/清水絢吾/スマプラ/著名人まとめ/LP1-CR00673",2093780,5,418756
LP2-CR00022,"251114/清水絢吾/スマプラ AIまとめ_1004//LP2-CR00022",525856,1,525856
LP2-CR00141,"251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141",881599,1,881599
LP1-CR00661,"251121/清水絢吾/スマプラ/AIガチャ(ピクセル1)/LP1-CR00661",1828570,1,1828570
LP2-CR001371,(該当広告なし),0,1,N/A
LP3-CR00001,(該当広告なし),0,1,N/A

合計,,7207557,18,400420
