=== AI導線 CRごとの個別予約CPO ===
対象期間: 2026-02-01 〜 2026-02-18

--- 予約ありCRのCPO（CPO良い順） ---
LP-CR,CR番号,予約数,広告費,CPO,広告数,広告名
LP1-CR00107,CR00107,1,0,0,0,""
LP2-CR00021,CR00021,1,0,0,0,""
LP1-CR00661,CR00661,1,0,0,0,""
LP1-CR00604,CR00604,1,0,0,0,""
LP2-CR00019,CR00019,2,0,0,0,""
LP2-CR00141,CR00141,1,0,0,2,"251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141 / 251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141"
LP1-CR00143,CR00143,1,0,0,0,""
LP1-CR00646,CR00646,3,0,0,1,"251114/清水絢吾/スマプラ/ホリエモン_AI2/LP1-CR00646"
LP1-CR00299,CR00299,1,0,0,0,""
LP1-CR00097,CR00097,1,0,0,0,""
LP2-CR00064,CR00064,1,0,0,0,""
LP2-CR00035,CR00035,1,0,0,1,"251114/清水絢吾/スマプラ/11月特典/LP2-CR00035"
LP2-CR00031,CR00031,1,0,0,0,""
LP2-CR00120,CR00120,1,0,0,0,""
LP2-CR00072,CR00072,1,0,0,0,""
LP1-CR00474,CR00474,1,0,0,0,""
LP2-CR00030,CR00030,1,0,0,0,""
LP1-CR00873,CR00873,1,4034,4034,1,"260212/千葉信輝/生意気なスタッフ冒頭2/LP1-CR00873"
LP1-CR00839,CR00839,1,12266,12266,1,"260205/高橋海斗/やれやめろ（編集強化）/LP1-CR00839"
LP1-CR00836,CR00836,2,34740,17370,1,"260205/鈴木織大/林社長A/LP1-CR00836"
LP1-CR00849,CR00849,1,24107,24107,1,"260207/荻野豪太/急募＿GPT/LP1-CR00849"
LP1-CR00807,CR00807,4,99543,24886,1,"260127/石黒研太/AI副業の嘘2（AI訴求）毎日投稿/LP1-CR00807"
LP1-CR00863,CR00863,1,26494,26494,1,"260209/千葉信輝/正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）/LP1-CR00863"
LP1-CR00846,CR00846,1,28398,28398,1,"260206/鈴木織大/収益発表 手取り18万_不審者/LP1-CR00846"
LP1-CR00835,CR00835,1,30661,30661,1,"260205/高橋海斗/やれやめろ（編集強化Ver）/LP1-CR00835"
LP1-CR00797,CR00797,3,98213,32738,1,"260127/高橋海斗/やれやめろ＿編集強化/LP1-CR00797"
LP1-CR00817,CR00817,3,153412,51137,1,"260129/千葉信輝/正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）/LP1-CR00817"
LP1-CR00822,CR00822,1,51973,51973,1,"260201/高橋海斗/パワポ終焉動画ID変更Ver/LP1-CR00822"
LP2-CR00189,CR00189,1,101556,101556,1,"260215/千葉信輝/お絵描きムービー（プロンプト）/LP2-CR00189"

合計（予約ありCRのみ）,,40,665397,16635,,
合計（全CR）,,40,1589714,39743,,


--- 全CR一覧（CPO良い順 → 広告費高い順） ---
LP-CR,CR番号,予約数,広告費,CPO,広告数
LP1-CR00107,CR00107,1,0,0,0
LP2-CR00021,CR00021,1,0,0,0
LP1-CR00661,CR00661,1,0,0,0
LP1-CR00604,CR00604,1,0,0,0
LP2-CR00019,CR00019,2,0,0,0
LP2-CR00141,CR00141,1,0,0,2
LP1-CR00143,CR00143,1,0,0,0
LP1-CR00646,CR00646,3,0,0,1
LP1-CR00299,CR00299,1,0,0,0
LP1-CR00097,CR00097,1,0,0,0
LP2-CR00064,CR00064,1,0,0,0
LP2-CR00035,CR00035,1,0,0,1
LP2-CR00031,CR00031,1,0,0,0
LP2-CR00120,CR00120,1,0,0,0
LP2-CR00072,CR00072,1,0,0,0
LP1-CR00474,CR00474,1,0,0,0
LP2-CR00030,CR00030,1,0,0,0
LP1-CR00873,CR00873,1,4034,4034,1
LP1-CR00839,CR00839,1,12266,12266,1
LP1-CR00836,CR00836,2,34740,17370,1
LP1-CR00849,CR00849,1,24107,24107,1
LP1-CR00807,CR00807,4,99543,24886,1
LP1-CR00863,CR00863,1,26494,26494,1
LP1-CR00846,CR00846,1,28398,28398,1
LP1-CR00835,CR00835,1,30661,30661,1
LP1-CR00797,CR00797,3,98213,32738,1
LP1-CR00817,CR00817,3,153412,51137,1
LP1-CR00822,CR00822,1,51973,51973,1
LP2-CR00189,CR00189,1,101556,101556,1
LP1-CR00889,CR00889,0,77325,予約なし,1
LP2-CR00184,CR00184,0,55813,予約なし,1
LP1-CR00827,CR00827,0,33078,予約なし,1
LP2-CR00186,CR00186,0,32625,予約なし,1
LP1-CR00784,CR00784,0,31729,予約なし,1
LP1-CR00826,CR00826,0,30648,予約なし,1
LP1-CR00850,CR00850,0,30316,予約なし,1
LP1-CR00820,CR00820,0,27557,予約なし,1
LP1-CR00821,CR00821,0,25269,予約なし,1
LP1-CR00823,CR00823,0,22276,予約なし,1
LP1-CR00812,CR00812,0,21768,予約なし,1
LP1-CR00875,CR00875,0,20652,予約なし,1
LP1-CR00837,CR00837,0,20041,予約なし,1
LP1-CR00864,CR00864,0,18315,予約なし,1
LP1-CR00862,CR00862,0,17770,予約なし,1
LP1-CR00811,CR00811,0,14722,予約なし,1
LP1-CR00847,CR00847,0,14253,予約なし,1
LP1-CR00874,CR00874,0,13965,予約なし,1
LP1-CR00878,CR00878,0,13047,予約なし,1
LP1-CR00824,CR00824,0,11876,予約なし,1
LP1-CR00851,CR00851,0,11569,予約なし,1
LP2-CR00195,CR00195,0,11417,予約なし,1
LP1-CR00852,CR00852,0,10936,予約なし,1
LP1-CR00854,CR00854,0,10666,予約なし,1
LP1-CR00902,CR00902,0,9445,予約なし,1
LP1-CR00884,CR00884,0,9174,予約なし,1
LP1-CR00860,CR00860,0,8829,予約なし,1
LP1-CR00848,CR00848,0,8675,予約なし,1
LP1-CR00869,CR00869,0,8562,予約なし,1
LP1-CR00833,CR00833,0,8435,予約なし,1
LP1-CR00838,CR00838,0,8192,予約なし,1
LP1-CR00899,CR00899,0,7532,予約なし,1
LP2-CR00188,CR00188,0,7075,予約なし,1
LP1-CR00840,CR00840,0,6841,予約なし,1
LP1-CR00844,CR00844,0,6812,予約なし,1
LP1-CR00834,CR00834,0,6798,予約なし,1
