AI導線 個別予約CPO一覧（2026-02-01 〜 2026-02-13）

LP-CR,広告名,消化金額,個別予約数,個別予約CPO
LP1-CR00839,"260205/高橋海斗/やれやめろ（編集強化）/LP1-CR00839",12266,1,12266
LP1-CR00835,"260205/高橋海斗/やれやめろ（編集強化Ver）/LP1-CR00835",30661,2,15331
LP1-CR00836,"260205/鈴木織大/林社長A/LP1-CR00836",34740,2,17370
LP1-CR00807,"260127/石黒研太/AI副業の嘘2（AI訴求）毎日投稿/LP1-CR00807",99543,5,19909
LP1-CR00849,"260207/荻野豪太/急募＿GPT/LP1-CR00849",24107,1,24107
LP1-CR00863,"260209/千葉信輝/正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）/LP1-CR00863",26494,1,26494
LP1-CR00846,"260206/鈴木織大/収益発表 手取り18万_不審者/LP1-CR00846",28398,1,28398
LP1-CR00797,"260127/高橋海斗/やれやめろ＿編集強化/LP1-CR00797",98213,2,49107
LP1-CR00817,"260129/千葉信輝/正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）/LP1-CR00817",153412,3,51137
LP1-CR00822,"260201/高橋海斗/パワポ終焉動画ID変更Ver/LP1-CR00822",51973,1,51973
LP1-CR00107,(該当広告なし),0,1,N/A
LP2-CR00021,(該当広告なし),0,1,N/A
LP1-CR00661,(該当広告なし),0,1,N/A
LP1-CR00604,(該当広告なし),0,1,N/A
LP2-CR00019,(該当広告なし),0,2,N/A
LP2-CR00141,"251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141",0,1,N/A
LP1-CR00143,(該当広告なし),0,1,N/A
LP1-CR00646,"251114/清水絢吾/スマプラ/ホリエモン_AI2/LP1-CR00646",0,2,N/A
LP1-CR00299,(該当広告なし),0,1,N/A
LP1-CR00097,(該当広告なし),0,1,N/A
LP2-CR00064,(該当広告なし),0,1,N/A
LP1-CR00903,(該当広告なし),0,1,N/A
LP2-CR00031,(該当広告なし),0,1,N/A
LP2-CR00120,(該当広告なし),0,1,N/A
LP2-CR00072,(該当広告なし),0,1,N/A
LP2-CR00048,"251114/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00048",0,1,N/A
LP1-CR00474,(該当広告なし),0,1,N/A

合計,,559807,38,14732
