広告ID,広告名,アカウント名,LP-CR,登録経路,出稿日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1850263330733074,"251201/高橋海斗/配達員/冒頭2/LP1-CR00676",AI_1,LP1-CR00676,"TikTok広告-AI-LP1-CR00676",2025-11-30,2025-12-02,0.00,2,N/A
1850253042082962,"251201/高橋海斗/配達員/冒頭4/LP1-CR00678",AI_1,LP1-CR00678,"TikTok広告-AI-LP1-CR00678",2025-11-30,2025-12-02,24309.00,3,8103.00
1850263330732082,"251201/高橋海斗/配達員/冒頭3/LP1-CR00677",AI_1,LP1-CR00677,"TikTok広告-AI-LP1-CR00677",2025-11-30,2025-12-02,0.00,0,N/A
1850263330733058,"251201/高橋海斗/配達員/冒頭1/LP1-CR00675",AI_1,LP1-CR00675,"TikTok広告-AI-LP1-CR00675",2025-11-30,2025-12-02,0.00,1,N/A
1850472306618481,"251204/高橋海斗/インタビュー（全員）/LP1-CR00679",AI_1,LP1-CR00679,"TikTok広告-AI-LP1-CR00679",2025-12-03,2025-12-05,10215.00,4,2553.75
1850472803071026,"251204/高橋海斗/インタビュー（一人）/LP1-CR00680",AI_1,LP1-CR00680,"TikTok広告-AI-LP1-CR00680",2025-12-03,2025-12-05,7941.00,4,1985.25
1850677773766722,"251205/清水絢吾/週末副業/冒頭①/LP1-CR00681",AI_2,LP1-CR00681,"TikTok広告-AI-LP1-CR00681",2025-12-04,2025-12-06,0.00,0,N/A
1850677852885250,"251205/清水絢吾/週末副業/冒頭②/LP1-CR00682",AI_2,LP1-CR00682,"TikTok広告-AI-LP1-CR00682",2025-12-04,2025-12-06,5000.00,0,N/A
1850739890996273,"251206/清水絢吾/スマプラ/ホリエモン_AI2/LP1-CR00685",AI_2,LP1-CR00685,"TikTok広告-AI-LP1-CR00685",2025-12-05,2025-12-07,178523.00,27,6611.96
1850740161424674,"251206/清水絢吾/スマプラ/ホリエモン関連/LP2-CR00139",AI_3,LP2-CR00139,"TikTok広告-AI-LP2-CR00139",2025-12-05,2025-12-07,54989.00,13,4229.92
1850927139187761,"251206/清水絢吾/スマプラ/ホリエモン関連/LP2-CR00139",AI_3,LP2-CR00139,"TikTok広告-AI-LP2-CR00139",2025-12-05,2025-12-07,0.00,13,N/A
1850808429654017,"251207/清水絢吾/AI学ぶな（林社長）/LP1-CR00688",AI_1,LP1-CR00688,"TikTok広告-AI-LP1-CR00688",2025-12-06,2025-12-08,37971.00,0,N/A
1850808429647025,"251207/清水絢吾/箕輪さんCR/LP1-CR00687",AI_1,LP1-CR00687,"TikTok広告-AI-LP1-CR00687",2025-12-06,2025-12-08,37919.00,3,12639.67
