アカウント,LP-CR,広告名,03/05,03/06,03/07,03/08,03/09,03/10,03/11,03/12,03/13,合計
SP1,LP2-CR00431,"260223/清水絢吾/はいそこまで（外）/動画ID変更/LP2-CR00431",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00432,"260223/下間優大/後悔書く＿箱＿手書き風/LP2-CR00432",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00437,"260224/石黒研太/講座あげちゃいます/LP2-CR00437",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00441,"260227/石黒研太/これじゃなくてこれ①/LP2-CR00441",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00442,"260227/石黒研太/これじゃなくてこれ②/LP2-CR00442",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00443,"260227/石黒研太/これじゃなくてこれ③/LP2-CR00443",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00447,"260228/加藤悠仁/1日2時間あったら/LP2-CR00447",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00448,"260228/伊藤開己/おい会社員_ちえみさん/LP2-CR00448",1,1,1,1,0,0,0,0,0,4
SP1,LP2-CR00449,"260303/石黒研太/副業収入生活/LP2-CR00449",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00450,"260303/加藤悠仁/1日2時間あったら/LP2-CR00450",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00451,"260303/加藤悠仁/1日2時間あったら/LP2-CR00451",1,1,0,0,0,0,0,0,0,2
SP1,LP2-CR00452,"260304/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00452",2,3,4,1,0,2,0,0,0,12
SP1,LP2-CR00454,"260304/石黒研太/AI副業の嘘セミナー　インスタ/LP2-CR00454",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00455,"260304/石黒研太/AI副業の嘘2セミナー毎日投稿/LP2-CR00455",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00456,"260304/荻野豪太/オートウェビナー_林社長_スキルプラス/LP2-CR00456",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00457,"260304/清水絢吾/はいそこまで（外）/動画ID変更/LP2-CR00457",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00458,"260304/千葉信輝/CPAが安いCR/LP2-CR00458",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00459,"260304/下間優大/後悔書く＿箱＿手書き風/LP2-CR00459",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00460,"260304/石黒研太/これじゃなくてこれ①/LP2-CR00460",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00464,"260305/千葉信輝/林社長も絶賛-ニュース-短編/LP2-CR00464",1,0,0,0,0,0,0,0,0,1
SP1,LP2-CR00465,"260305/千葉信輝/林社長も絶賛-ニュース-長編/LP2-CR00465",2,0,0,1,0,0,0,0,0,3
SP1,LP2-CR00466,"260306/伊藤開己/おい会社員_ちえみさん/LP2-CR00466",0,1,0,1,0,0,0,0,0,2
SP1,LP2-CR00467,"260307/鈴木織大/パパの脳内会議_セミナーver/LP2-CR00467",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00468,"260307/清水絢吾/スマプラ/CVポイント検証/LP2-CR00468",0,0,1,0,3,2,0,4,3,13
SP1,LP2-CR00469,"260307/清水絢吾/スマプラ/CVポイント検証/LP2-CR00469",0,0,1,0,0,1,0,0,0,2
SP1,LP2-CR00470,"260307/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00470",0,0,1,0,0,0,0,0,0,1
SP1,LP2-CR00471,"260307/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00471",0,0,2,2,0,1,0,0,0,5
SP1,LP2-CR00472,"260309/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00472",0,0,0,0,1,0,0,0,0,1
SP1,LP2-CR00473,"260309/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00473",0,0,0,0,1,0,0,0,0,1
SP1,LP2-CR00475,"260310/清水絢吾/新セミナーダイジェスト/トレンド_CTAなし_BGM1/LP2-CR00475",0,0,0,0,0,4,2,0,0,6
SP1,LP2-CR00476,"260310/清水絢吾/新セミナーダイジェスト/権威_CTAあり_BGM1/LP2-CR00476",0,0,0,0,0,1,0,0,0,1
SP1,LP2-CR00477,"260310/清水絢吾/新セミナーダイジェスト/権威_CTAなし_BGM2/LP2-CR00477",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00479,"260311/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00479",0,0,0,0,0,0,1,0,0,1
SP1,LP2-CR00480,"260311/清水絢吾/はいそこまで（外）/動画ID変更/LP2-CR00480",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00481,"260311/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00481",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00482,"260311/伊藤開己/おい会社員_ちえみさん/LP2-CR00482",0,0,0,0,0,0,0,0,0,0
SP1,LP2-CR00487,"260312/石黒研太/AI副業の嘘セミナー/LP2-CR00487",0,0,0,0,0,0,0,1,0,1
SP1,LP2-CR00488,"260312/加藤悠仁/1日2時間あったら/LP2-CR00488",0,0,0,0,0,0,0,1,0,1
SP1,LP2-CR00489,"260312/下間優大/二極化2/LP2-CR00489",0,0,0,0,0,0,0,1,0,1
SP2,LP2-CR00417,"260219/下間優大/後悔書く＿冒頭記述＿縦書き/LP2-CR00417",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00419,"260219/清水絢吾/おい会社員(クリーン)/冒頭2/LP2-CR00419",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00428,"260222/石黒研太/AI副業の嘘セミナー 毎日投稿/LP2-CR00428",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00435,"260224/下間優大/後悔書く＿箱＿手書き風/LP2-CR00435",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00438,"260219/石黒研太/AI副業の嘘 8/LP2-CR00438",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00439,"260226/石黒研太/AI副業の嘘セミナー インスタ/LP2-CR00439",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00440,"260226/加藤悠仁/1日2時間あったら/LP2-CR00440",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00444,"260301/下間優大/二極化/LP2-CR00444",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00445,"260301/鈴木織大/会社に依存/LP2-CR00445",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00446,"260301/清水絢吾/おい会社員(セミナー)/演出あり/冒頭1/LP2-CR00446",0,3,4,0,0,0,0,0,0,7
SP2,LP2-CR00453,"260304/加藤悠仁/1日2時間あったら/LP2-CR00453",0,2,0,0,1,0,0,0,0,3
SP2,LP2-CR00461,"260304/石黒研太/AI副業の嘘 冒頭8/LP2-CR00461",0,1,0,0,0,0,0,0,0,1
SP2,LP2-CR00462,"260304/石黒研太/AI副業の嘘セミナー インスタ/LP2-CR00462",1,0,0,1,0,0,0,0,0,2
SP2,LP2-CR00463,"260304/石黒研太/AI副業の嘘セミナー 毎日投稿/LP2-CR00463",1,1,0,0,0,0,0,0,0,2
SP2,LP2-CR00478,"260311/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00478",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00483,"260311/箕輪さんCR/TikTok_冒頭2-①/LP2-CR00483",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00484,"260311/清水絢吾/はいそこまで（外）/LP2-CR00484",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00485,"260311/清水絢吾/新セミナーダイジェスト/LP2-CR00485",0,0,0,0,0,0,0,0,0,0
SP2,LP2-CR00486,"260311/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00486",0,0,0,0,0,0,1,0,0,1
,,合計,9,13,14,7,6,11,4,7,3,74
