広告ID,広告名,広告タイプ,登録経路,インプレッション,クリック数,費用,CTR(%),CPM,CV数,CVR(%),CPA
1.84841E+15,251111/清水絢吾/開催決定強化/勝ち冒頭/LP2-CR00072,REGULAR,TikTok広告-スキルプラス-LP2-CR00072,4789,32,3820,0.67,797.66,0,0,0
1.84841E+15,251111/清水絢吾/開催決定強化/箕輪冒頭⑤/LP2-CR00071,REGULAR,TikTok広告-スキルプラス-LP2-CR00071,5864,50,3939,0.85,671.73,0,0,0
1.84841E+15,251111/清水絢吾/開催決定強化/ホリエモン冒頭③/LP2-CR00069,REGULAR,TikTok広告-スキルプラス-LP2-CR00069,5994,44,3988,0.73,665.33,0,0,0
1.84841E+15,251111/清水絢吾/開催決定強化/箕輪冒頭③/LP2-CR00070,REGULAR,TikTok広告-スキルプラス-LP2-CR00070,7955,66,4053,0.83,509.49,0,0,0
1.84841E+15,251111/清水絢吾/開催決定強化/びっくり_CTA強化/LP2-CR00067,REGULAR,TikTok広告-スキルプラス-LP2-CR00067,5571,40,4010,0.72,719.8,0,0,0
1.84841E+15,251111/清水絢吾/開催決定強化/ホリエモン冒頭①/LP2-CR00068,REGULAR,TikTok広告-スキルプラス-LP2-CR00068,5541,47,4165,0.85,751.67,0,0,0
1.84841E+15,251111/清水絢吾/開催決定強化/びっくり/LP2-CR00066,REGULAR,TikTok広告-スキルプラス-LP2-CR00066,4352,41,4174,0.94,959.1,0,0,0
1.8484E+15,CR00053,REGULAR,TikTok広告-スキルプラス-LP2-CR00053,742,11,722,1.48,973.05,14,127.27,51.57
1.8484E+15,CR00051,REGULAR,TikTok広告-スキルプラス-LP2-CR00054,2273,24,2981,1.06,1311.48,0,0,0
1.8484E+15,CR00050,REGULAR,TikTok広告-スキルプラス-LP2-CR00055,1059,9,910,0.85,859.3,1,11.11,910
1.8484E+15,CR00049,REGULAR,TikTok広告-スキルプラス-LP2-CR00056,963,7,890,0.73,924.2,0,0,0
1.8484E+15,CR00048,REGULAR,TikTok広告-スキルプラス-LP2-CR00057,8431,70,6104,0.83,723.99,17,24.29,359.06
1.8484E+15,CR00047,REGULAR,TikTok広告-スキルプラス-LP2-CR00058,564,6,646,1.06,1145.39,2,33.33,323
1.8484E+15,CR00046,REGULAR,TikTok広告-スキルプラス-LP2-CR00059,400,2,724,0.5,1810,1,50,724
1.8484E+15,CR00045,REGULAR,TikTok広告-スキルプラス-LP2-CR00060,4228,40,2646,0.95,625.83,4,10,661.5
1.8484E+15,CR00054,REGULAR,TikTok広告-スキルプラス-LP2-CR00061,934,10,924,1.07,989.29,0,0,0
1.8484E+15,CR00058,REGULAR,TikTok広告-スキルプラス-LP2-CR00062,11124,109,8287,0.98,744.97,0,0,0
1.8484E+15,CR00059,REGULAR,TikTok広告-スキルプラス-LP2-CR00063,5444,49,5371,0.9,986.59,0,0,0
1.8484E+15,CR00056,REGULAR,TikTok広告-スキルプラス-LP2-CR00064,8340,76,7595,0.91,910.67,0,0,0
1.8484E+15,CR00057,REGULAR,TikTok広告-スキルプラス-LP2-CR00065,4772,57,4705,1.19,985.96,0,0,0
1.8484E+15,＃納品_ホリエモン冒頭③_TT_Zlk7AORL.mp4_CR00062,REGULAR,TikTok広告-スキルプラス-LP2-CR00066,4518,47,3347,1.04,740.81,6,12.77,557.83
1.8484E+15,＃納品_まちがっている_セミナー_強化あり_TT-_08ASF2DM.mp4_CR00059,REGULAR,TikTok広告-スキルプラス-LP2-CR00067,2062,26,2522,1.26,1223.08,0,0,0
1.8484E+15,＃納品_まちがっている_セミナー_強化なし_TT_qTA3vaNz.mp4_CR00060,REGULAR,TikTok広告-スキルプラス-LP2-CR00068,27453,291,7796,1.06,283.98,3,1.03,2598.67
1.8484E+15,＃納品_箕輪さん冒頭③_TT_7T4Raq9s.mp4_CR00063,REGULAR,TikTok広告-スキルプラス-LP2-CR00069,3039,31,1369,1.02,450.48,7,22.58,195.57
1.8484E+15,＃納品_箕輪さん冒頭⑤_TT_75mlDnb6.mp4_CR00064,REGULAR,TikTok広告-スキルプラス-LP2-CR00070,26082,281,9188,1.08,352.27,11,3.91,835.27
1.8484E+15,＃納品_ホリエモン冒頭①_TT_IRa49rNE.mp4_CR00061,REGULAR,TikTok広告-スキルプラス-LP2-CR00071,3910,41,2163,1.05,553.2,0,0,0
1.84836E+15,＃納品_ホリエモン冒頭①_TT_IRa49rNE.mp4_CR00061,REGULAR,TikTok広告-スキルプラス-LP2-CR00072,2632,17,698,0.65,265.2,0,0,0
1.84836E+15,＃納品_箕輪さん冒頭⑤_TT_75mlDnb6.mp4_CR00064,REGULAR,TikTok広告-スキルプラス-LP2-CR00073,2311,15,1293,0.65,559.5,11,73.33,117.55
1.84836E+15,＃納品_箕輪さん冒頭③_TT_7T4Raq9s.mp4_CR00063,REGULAR,TikTok広告-スキルプラス-LP2-CR00074,2016,12,527,0.6,261.41,7,58.33,75.29
1.84836E+15,＃納品_まちがっている_セミナー_強化なし_TT_qTA3vaNz.mp4_CR00060,REGULAR,TikTok広告-スキルプラス-LP2-CR00075,2835,19,1073,0.67,378.48,3,15.79,357.67
1.84836E+15,＃納品_まちがっている_セミナー_強化あり_TT-_08ASF2DM.mp4_CR00059,REGULAR,TikTok広告-スキルプラス-LP2-CR00076,319,0,174,0,545.45,0,0,0
1.84836E+15,＃納品_ホリエモン冒頭③_TT_Zlk7AORL.mp4_CR00062,REGULAR,TikTok広告-スキルプラス-LP2-CR00077,973,3,379,0.31,389.52,6,200,63.17
1.84836E+15,CR00054,REGULAR,TikTok広告-スキルプラス-LP2-CR00078,297,3,210,1.01,707.07,0,0,0
1.84836E+15,CR00045,REGULAR,TikTok広告-スキルプラス-LP2-CR00079,980,7,255,0.71,260.2,4,57.14,63.75
1.84836E+15,CR00046,REGULAR,TikTok広告-スキルプラス-LP2-CR00080,435,3,153,0.69,351.72,1,33.33,153
1.84836E+15,CR00047,REGULAR,TikTok広告-スキルプラス-LP2-CR00081,662,3,224,0.45,338.37,2,66.67,112
1.84836E+15,CR00048,REGULAR,TikTok広告-スキルプラス-LP2-CR00082,3221,26,1106,0.81,343.37,17,65.38,65.06
1.84836E+15,CR00049,REGULAR,TikTok広告-スキルプラス-LP2-CR00083,371,4,155,1.08,417.79,0,0,0
1.84836E+15,CR00050,REGULAR,TikTok広告-スキルプラス-LP2-CR00084,428,4,159,0.93,371.5,1,25,159
1.84836E+15,CR00051,REGULAR,TikTok広告-スキルプラス-LP2-CR00085,745,5,290,0.67,389.26,0,0,0
1.84836E+15,CR00052,REGULAR,TikTok広告-スキルプラス-LP2-CR00086,1599,12,377,0.75,235.77,0,0,0
1.84836E+15,CR00053,REGULAR,TikTok広告-スキルプラス-LP2-CR00087,598,4,151,0.67,252.51,14,350,10.79
1.84836E+15,CR00057,REGULAR,TikTok広告-スキルプラス-LP2-CR00088,868,6,846,0.69,974.65,0,0,0
1.84836E+15,CR00056,REGULAR,TikTok広告-スキルプラス-LP2-CR00089,964,8,825,0.83,855.81,0,0,0
1.84836E+15,CR00059,REGULAR,TikTok広告-スキルプラス-LP2-CR00090,1169,6,832,0.51,711.72,0,0,0
1.84836E+15,CR00058,REGULAR,TikTok広告-スキルプラス-LP2-CR00091,1335,16,1370,1.2,1026.22,0,0,0
1.84832E+15,＃納品_ホリエモン冒頭③_TT_Zlk7AORL.mp4_CR00062,REGULAR,TikTok広告-スキルプラス-LP2-CR00092,179,2,139,1.12,776.54,6,300,23.17
1.84832E+15,＃納品_まちがっている_セミナー_強化あり_TT-_08ASF2DM.mp4_CR00059,REGULAR,TikTok広告-スキルプラス-LP2-CR00093,207,0,229,0,1106.28,0,0,0
1.84832E+15,＃納品_まちがっている_セミナー_強化なし_TT_qTA3vaNz.mp4_CR00060,REGULAR,TikTok広告-スキルプラス-LP2-CR00094,125,1,178,0.8,1424,3,300,59.33
1.84832E+15,＃納品_箕輪さん冒頭③_TT_7T4Raq9s.mp4_CR00063,REGULAR,TikTok広告-スキルプラス-LP2-CR00095,191,2,125,1.05,654.45,7,350,17.86
1.84832E+15,＃納品_箕輪さん冒頭⑤_TT_75mlDnb6.mp4_CR00064,REGULAR,TikTok広告-スキルプラス-LP2-CR00096,440,2,384,0.45,872.73,11,550,34.91
1.84832E+15,＃納品_ホリエモン冒頭①_TT_IRa49rNE.mp4_CR00061,REGULAR,TikTok広告-スキルプラス-LP2-CR00097,80,0,53,0,662.5,0,0,0
1.84824E+15,CR00058,REGULAR,TikTok広告-スキルプラス-LP2-CR00098,5794,53,7037,0.91,1214.53,0,0,0
1.84824E+15,CR00059,REGULAR,TikTok広告-スキルプラス-LP2-CR00099,1848,12,1569,0.65,849.03,0,0,0
1.84824E+15,CR00056,REGULAR,TikTok広告-スキルプラス-LP2-CR00100,2220,18,2302,0.81,1036.94,0,0,0
1.84824E+15,CR00057,REGULAR,TikTok広告-スキルプラス-LP2-CR00101,4999,36,4849,0.72,969.99,0,0,0
1.84821E+15,CR00053,REGULAR,TikTok広告-スキルプラス-LP2-CR00102,1944,17,1380,0.87,709.88,14,82.35,98.57
1.84821E+15,CR00052,REGULAR,TikTok広告-スキルプラス-LP2-CR00103,4740,43,2564,0.91,540.93,0,0,0
