日付,広告費,CV数,CPA
2025/10/1,24126,2,12063
2025/10/2,19701,5,3940.2
2025/10/3,27732,2,13866
2025/10/4,27150,3,9050
2025/10/5,23305,2,11652.5
2025/10/6,34333,5,6866.6
2025/10/7,26810,2,13405
2025/10/8,25043,2,12521.5
2025/10/9,28137,3,9379
2025/10/10,35375,5,7075
2025/10/11,29674,4,7418.5
2025/10/12,28898,7,4128.29
2025/10/13,36443,7,5206.14
2025/10/14,42473,4,10618.25
2025/10/15,54176,4,13544
2025/10/16,44344,4,11086
2025/10/17,68860,11,6260
2025/10/18,73122,12,6093.5
2025/10/19,74605,19,3926.58
2025/10/20,71543,22,3251.95
2025/10/21,61947,16,3871.69
2025/10/22,42208,12,3517.33
2025/10/23,29950,15,1996.67
2025/10/24,71745,27,2657.22
2025/10/25,76594,19,4031.26
2025/10/26,64296,42,1530.86
2025/10/27,65617,33,1988.39
2025/10/28,62914,30,2097.13
2025/10/29,74657,22,3393.5
2025/10/30,41378,39,1060.97
2025/10/31,43402,48,904.21
2025/11/1,52375,29,1806.03
2025/11/2,45262,17,2662.47
2025/11/3,51716,22,2350.73
2025/11/4,93078,36,2585.5
2025/11/5,72528,13,5579.08
2025/11/6,98090,6,16348.33
2025/11/7,123137,6,20522.83
2025/11/8,120013,8,15001.63
2025/11/9,117001,6,19500.17
2025/11/10,74265,1,74265
2025/11/11,172771,7,24681.57
2025/11/12,45950,21,2188.1
2025/11/13,43127,16,2695.44
2025/11/14,32715,32,1022.34
2025/11/15,33178,58,572.03
2025/11/16,26152,54,484.3
2025/11/17,16728,47,355.91
2025/11/18,9458,52,181.88
2025/11/19,7497,46,162.98
2025/11/20,8563,53,161.57
2025/11/21,16583,68,243.87
2025/11/22,27513,55,500.24
2025/11/23,8819,29,304.1
2025/11/24,21684,44,492.82
2025/11/25,39300,35,1122.86
2025/11/26,21799,21,1038.05
2025/11/27,179737,20,8986.85
2025/11/28,161535,19,8501.84
2025/11/29,125701,15,8380.07
2025/11/30,115421,17,6789.47
2025/12/1,94845,16,5927.81
2025/12/2,97757,18,5430.94
2025/12/3,76564,15,5104.27
2025/12/4,67676,10,6767.6
2025/12/5,99472,23,4324.87
2025/12/6,93268,28,3331
2025/12/7,106086,32,3315.19
2025/12/8,79117,13,6085.92
2025/12/9,119838,18,6657.67
2025/12/10,113262,18,6292.33
2025/12/11,110475,7,15782.14
2025/12/12,113018,10,11301.8
2025/12/13,94438,10,9443.8
2025/12/14,95122,12,7926.83
2025/12/15,127334,22,5787.91
2025/12/16,114057,18,6336.5
2025/12/17,108396,19,5705.05
2025/12/18,66897,13,5145.92
2025/12/19,66468,10,6646.8
2025/12/20,125739,15,8382.6
2025/12/21,93645,26,3601.73
2025/12/22,104023,19,5474.89
2025/12/23,204375,25,8175
2025/12/24,99162,9,11018
2025/12/25,64654,10,6465.4
2025/12/26,47593,7,6799
2025/12/27,82320,6,13720
2025/12/28,67965,5,13593
2025/12/29,32106,4,8026.5
2025/12/30,33748,3,11249.33
2025/12/31,11565,0,-
