日付,広告名,登録経路,インプレッション,クリック数,消化額,CV数,CTR(%),CPM,CPA
2026-01-12,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",0,0,0.00,1,0.0000,0.00,0.00
2026-01-13,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",4053,22,6567.00,2,0.5428,1620.28,3283.50
2026-01-14,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",4249,29,7929.00,1,0.6825,1866.09,7929.00
2026-01-15,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",3703,19,6457.00,1,0.5131,1743.72,6457.00
2026-01-16,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",8583,53,17786.00,6,0.6175,2072.24,2964.33
2026-01-17,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",16679,173,40783.00,14,1.0372,2445.17,2913.07
2026-01-18,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",30272,179,48687.00,6,0.5913,1608.32,8114.50
2026-01-19,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",17632,118,32796.00,6,0.6692,1860.03,5466.00
2026-01-20,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",12145,90,28482.00,2,0.7410,2345.16,14241.00
2026-01-21,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",21228,111,47881.00,10,0.5229,2255.56,4788.10
2026-01-22,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",34588,169,51614.00,6,0.4886,1492.25,8602.33
2026-01-23,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",28146,158,53755.00,9,0.5614,1909.86,5972.78
2026-01-24,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",30542,152,53682.00,7,0.4977,1757.65,7668.86
2026-01-25,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00262","TikTok広告-スキルプラス-LP2-CR00262",3230,30,5320.00,0,0.9288,1647.06,-
2026-01-18,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",0,0,0.00,2,0.0000,0.00,0.00
2026-01-19,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",4963,27,8521.00,5,0.5440,1716.91,1704.20
2026-01-20,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",9056,58,17645.00,4,0.6405,1948.43,4411.25
2026-01-21,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",3174,20,6420.00,0,0.6301,2022.68,-
2026-01-22,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",2,0,0.00,0,0.0000,0.00,-
2026-01-24,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",16381,54,23205.00,2,0.3297,1416.58,11602.50
2026-01-25,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",14217,66,23205.00,5,0.4642,1632.20,4641.00
2026-01-26,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",11204,45,15482.00,2,0.4016,1381.83,7741.00
2026-01-27,"260113/鈴木織大/おーい会社員_今スキルプラスに入ること/LP2-CR00278","TikTok広告-スキルプラス-LP2-CR00278",3350,27,5418.00,0,0.8060,1617.31,-
