AI導線 フロント転換 詳細分析 (2026-03-01 〜 2026-04-05)
生成日時: 2026-04-05T05:42:00.469Z

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
■ 全CR一覧（消化¥3,000以上、消化額順）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
CR        | キャンペーン名                                       | AC          | キャンプ数 |     消化額 |  IMP    | クリック | CTR%   | CPC    | API_CV | CPA     | オプト | OTO | 3day | フロ計 | 転換率 | フロCPO
----------------------------------------------------------------------------------------------------------------------------------------------------------------
CR01132   | 260329/千葉信輝/過去の当たりCR/LP1-CR01132                   | AI_2        |        1 | ¥ 398,499 | 200,869 |  2,105 |  1.05% | ¥ 189 |     99 | ¥ 4,025 |   126 |   8 |    0 |      8 |   6.3% |    ¥49,812
CR01047   | 260312/AI/ClaudeCode解説/LP1-CR01047                 | AI_1        |        1 | ¥ 233,455 | 199,333 |    782 |  0.39% | ¥ 299 |     71 | ¥ 3,288 |    70 |   6 |    0 |      6 |   8.6% |    ¥38,909
CR01105   | 260326/千葉信輝/過去の当たりCR/LP1-CR01105                   | AI_1        |        1 | ¥ 218,791 | 165,458 |    857 |  0.52% | ¥ 255 |     64 | ¥ 3,419 |    73 |   5 |    0 |      5 |   6.8% |    ¥43,758
CR00230   | 260320/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00230               | AI_2        |        1 | ¥ 171,699 | 158,268 |  3,454 |  2.18% | ¥  50 |     27 | ¥ 6,359 |    44 |   3 |    0 |      3 |   6.8% |    ¥57,233
CR00223   | 260311/AI/ClaudeCode解説/LP2-CR00223                 | AI_1        |        1 | ¥ 168,780 | 115,065 |    660 |  0.57% | ¥ 256 |     50 | ¥ 3,376 |    68 |   7 |    1 |      8 |  11.8% |    ¥21,098
CR00454   | 260404/横展開/CR454_横展開/LP1-CR01151                   | AI_1,AI_2,AI_3 |        9 | ¥ 141,849 | 110,758 |    629 |  0.57% | ¥ 226 |     40 | ¥ 3,546 |     0 |   0 |    0 |      0 |      - |          -
CR00003   | 260324/鈴木織大/箕輪さんまとめ/LP4-CR00003                    | AI_1,AI_4   |        3 | ¥ 137,977 | 115,711 |    624 |  0.54% | ¥ 221 |     35 | ¥ 3,942 |    61 |   3 |    0 |      3 |   4.9% |    ¥45,992
CR00001   | 260317/楢木野萌/お絵描きムービー（プロンプト）/LP6-CR00001            | AI_1,AI_2   |        4 | ¥ 132,391 | 158,444 |    623 |  0.39% | ¥ 213 |     46 | ¥ 2,878 |    51 |   1 |    0 |      1 |   2.0% |   ¥132,391
CR01074   | 260319/AI/2026年3月度勝ちCR/LP1-CR01074                 | AI_2        |        1 | ¥ 119,081 |  69,005 |    402 |  0.58% | ¥ 296 |     23 | ¥ 5,177 |    29 |   3 |    0 |      3 |  10.3% |    ¥39,694
